EXT_SOURCE_3,EXT_SOURCE_2,PAYMENT_RATE,NAME_EDUCATION_TYPE_Highereducation,INSTAL_DPD_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,DAYS_BIRTH,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_EMPLOYED_PERC,BURO_DAYS_CREDIT_MAX,REGION_RATING_CLIENT,NAME_INCOME_TYPE_Working,INSTAL_PAYMENT_DIFF_MEAN,DAYS_LAST_PHONE_CHANGE,APPROVED_CNT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_MIN,BURO_AMT_CREDIT_SUM_DEBT_MEAN,DAYS_EMPLOYED,AMT_CREDIT,CODE_GENDER,FLAG_OWN_CAR,NAME_CONTRACT_TYPE_Cashloans,PREV_NAME_YIELD_GROUP_high_MEAN,FLAG_DOCUMENT_3,AMT_GOODS_PRICE,PREV_APP_CREDIT_PERC_MIN,PREV_CNT_PAYMENT_MEAN,APPROVED_AMT_DOWN_PAYMENT_MAX,DAYS_ID_PUBLISH,BURO_AMT_CREDIT_SUM_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_SIZE,INSTAL_DAYS_ENTRY_PAYMENT_SUM,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_ENDDATE_MEAN,PREV_NAME_YIELD_GROUP_low_action_MEAN,PREV_NAME_CLIENT_TYPE_New_MEAN,AMT_ANNUITY,INSTAL_AMT_PAYMENT_SUM,PREV_AMT_DOWN_PAYMENT_MAX,PREV_APP_CREDIT_PERC_MAX,APPROVED_AMT_ANNUITY_MAX,BURO_DAYS_CREDIT_ENDDATE_MIN,PREV_APP_CREDIT_PERC_MEAN,POS_COUNT,ORGANIZATION_TYPE_XNA,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_WORK_CITY,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,AMT_INCOME_TOTAL,CNT_CHILDREN,SK_ID_CURR
0.29859498,0.6600149,0.0377,0,0.25,0.0,-23670,1.0,0.0,-1030.0,3,0,0.0,-1671.0,10.0,3943.08,0.0,0.0,675000.0,1,0,1,0.0,1,675000.0,1.1111112,10.0,8500.5,-4136,360974.53,-45.0,22.0,-40647.0,-2032.35,-1469.3334,-1022.3333,0.0,0.5,25447.5,124885.08,8500.5,1.1111112,8499.645,-1765.0,1.1111112,22.0,1,3,0,1.0,67500.0,0,100074
0.2091547,0.65074986,0.05583961,0,1.1428572,0.0,-14806,0.14285715,0.041874915,-40.0,2,0,0.0,-2352.0,8.0,2885.895,1200570.0,-620.0,402214.5,1,0,1,1.0,1,328500.0,1.1911086,8.0,12285.0,-3039,9486863.0,-50.0,16.0,-28851.0,-2060.7856,-447.42856,1805.4286,0.0,0.5,22459.5,55701.9,12285.0,1.469988,4512.735,113.0,1.3305483,16.0,0,2,1,1.0,252000.0,1,100677
0.7463002,0.6871069,0.09226375,0,0.0,0.0,-8199,1.0,0.029881693,-1060.0,2,1,0.0,-304.0,12.0,8829.18,0.0,-245.0,239476.5,1,0,1,1.0,1,193500.0,1.0943515,12.0,6750.0,-874,105750.0,-2.0,9.0,-1433.0,-159.22223,-1060.0,-756.0,0.0,1.0,22095.0,79462.62,6750.0,1.0943515,8698.68,-756.0,1.0943515,9.0,0,2,1,1.0,112500.0,0,102701
0.6971469,0.5694873,0.037903868,0,0.0,0.0,-18610,0.5,0.24970447,-1078.0,3,1,0.0,-1970.0,11.0,2507.535,98986.5,-4647.0,622575.0,1,0,1,0.5,1,463500.0,0.8937498,11.0,10125.0,-2153,1386000.0,-17.0,48.0,-26616.0,-1663.5,-1463.0,130.5,0.0,0.5,23598.0,164171.3,10125.0,1.1111112,11914.065,-22.0,1.0024304,48.0,0,2,0,1.0,202500.0,0,102863
0.46865967,0.5258154,0.057,0,0.0,0.0,-21220,0.09090909,0.1379359,-18.0,2,1,0.0,-859.0,3.0,84.195,64919.453,-2927.0,112500.0,1,0,1,0.0,1,112500.0,1.0,3.0,0.0,-3385,1192216.5,-7.0,6.0,-4828.0,-301.75,-819.5455,25.2,0.5,1.0,6412.5,71941.32,0.0,1.0,6743.34,-1010.0,1.0,6.0,0,2,0,1.0,103500.0,0,103676
0.7062051,0.6152665,0.055926852,0,0.125,0.0,-19827,0.9230769,0.03737328,-402.0,2,1,397.43155,-1153.0,6.0,439.38,0.0,-741.0,1457734.5,1,0,1,0.5,1,1318500.0,0.9498036,6.0,4500.0,-3362,1641214.9,-1.0,18.0,-8767.0,-547.9375,-2271.0,947.5,0.0,0.0,81526.5,99076.09,4500.0,1.1196911,8190.0,-2486.0,1.0173737,18.0,0,2,0,1.0,225000.0,0,104136
0.4382814,0.24485189,0.03603949,0,0.0,0.25,-16035,0.5714286,0.28119737,-127.0,3,0,0.0,-261.0,8.666667,11602.53,20318.25,-4509.0,1091677.5,1,0,1,0.0,1,846000.0,0.375,5.2,45000.0,-5890,557403.06,-2.0,26.0,-17157.0,-714.875,-921.7143,1054.6666,0.0,0.125,39343.5,647414.6,45000.0,1.1111112,44995.5,-2385.0,0.89212704,26.0,0,3,0,0.375,171000.0,1,104685
0.53348166,0.5375977,0.04427389,0,0.0,0.0,-16781,0.625,0.27060366,-215.0,2,0,0.0,-1.0,0.0,0.0,47696.625,-4541.0,582804.0,1,0,1,0.0,1,463500.0,0.0,0.0,0.0,-337,1297570.5,-4.0,93.0,0.0,0.0,-1299.0,-778.1429,0.0,0.0,25803.0,0.0,0.0,0.0,0.0,-2242.0,0.0,93.0,0,2,0,0.0,162000.0,1,105621
0.22888342,0.42976063,0.07945018,0,0.3846154,0.2857143,-8995,0.45454547,0.19043913,-17.0,2,1,613.25305,-1367.0,13.0,2451.24,50053.5,-1713.0,296280.0,0,1,1,0.2857143,0,225000.0,0.77657837,6.5,2740.5,-600,1767039.9,-2.0,26.0,-14273.0,-548.96155,-499.36365,6609.091,0.0,0.14285715,23539.5,325677.1,2740.5,1.0,15944.58,-765.0,0.9235404,26.0,0,2,0,0.2857143,180000.0,0,105740
0.33285058,0.3881072,0.05106,0,0.0,0.0,-10382,1.0,0.16191486,-626.0,2,1,0.0,-541.0,12.0,3925.62,0.0,-1681.0,450000.0,0,1,1,0.0,1,450000.0,0.8938583,12.0,0.0,-2008,932133.94,-12.0,7.0,-2708.0,-451.33334,-897.7143,-480.85715,0.0,1.0,22977.0,45699.21,0.0,0.8938583,3925.62,-800.0,0.8938583,7.0,0,2,1,1.0,112500.0,1,106262
